           L    precision    recall  f1-score   support

           0     0.5209    0.7062    0.5996       388
           1     0.3861    0.5652    0.4588       276
           2     0.4111    0.5570    0.4730       307
           3     0.8447    0.4570    0.5931       488
           4     0.5480    0.6314    0.5867       624
           5     0.5766    0.5744    0.5755       531
           6     0.6930    0.3979    0.5055       573

    accuracy                         0.5494      3187
   macro avg     0.5686    0.5556    0.5418      3187
weighted avg     0.5938    0.5494    0.5508      3187
